id;name;type;protein;verwendung;beschreibung;trivia;bild
1;Weizenmehl (Weissmehl);DE: 405 | AT: W480 | CH: 400 | IT: 00 | FR: T45;9-10%;Kuchen, Plätzchen, Brioche;Das klassische Haushaltsmehl. Sehr hell, viel Stärke, aber wenig Mineralstoffe.;In Italien gilt "Tipo 00" als das "Gold der Pizzabäcker", bezeichnet aber nur den Feinheitsgrad.;weizen_weiss.jpg
2;Weizenmehl (Backstark);DE: 550 | AT: W700 | CH: 550 | FR: T65;11-13%;Helle Brote, Brötchen, Pizza, Baguette;Das Standardmehl für Bäcker. Griffiger und kleberstärker als das Kuchenmehl.;Französische Baguettes erhalten ihre grobe Porung oft durch T65 und lange Ruhezeiten.;weizen_backstark.jpg
3;Manitoba Mehl;IT: Farina Manitoba | US: High Gluten;13-15%;Panettone, lange Teigführung;Extrem kleberstarker Weizen (urspr. aus Kanada). Wird oft normalen Mehlen beigemischt.;Benannt nach der kanadischen Provinz Manitoba, wo dieser extrem harte Weizen im kalten Klima wächst.;manitoba.jpg
4;Weizen Vollkorn;DE: Vollkorn | US: Whole Wheat;12-14%;Gesundheitsbrote, Kastenbrote;Das volle Korn vermahlen. Benötigt mehr Wasser im Teig.;Der Keimling im Vollkorn enthält Fette, weshalb Vollkornmehl viel schneller ranzig wird als weißes Mehl.;weizen_vollkorn.jpg
5;Roggenmehl;DE: 1150 | AT: R960 | CH: 1100;9-10%;Roggenbrote, Sauerteig;Der Klassiker für dunkle Brote. Backfähig nur durch Versäuerung.;Ohne Sauerteig bauen die Enzyme im Roggen die Stärke beim Backen sofort ab – das Brot wäre innen klitschig-nass.;roggen_dunkel.jpg
6;Dinkelmehl;DE: 630 | AT: D700;11-13%;Wie Weizen 405/550;Nussiger Geschmack. Kleberstruktur ist empfindlicher gegen Überkneten.;Hildegard von Bingen lobte Dinkel schon im 12. Jh. als "das beste Getreide", das "rechtes Fleisch und rechtes Blut" mache.;dinkel.jpg
7;Hartweizengrieß;IT: Semola rimacinata;12-14%;Pasta, Pizzateig (Finish);Sehr harter Weizen, gelbliche Farbe. Gibt den typischen "Biss".;Hartweizen (Durum) ist eine ganz andere botanische Art als Weichweizen. Er wächst nur in heißem Klima.;semola.jpg
8;Kamut (Khorasan);Markenname Kamut;14-16%;Pasta, Helle Brote;Urgetreide. Die Körner sind riesig. Das Mehl ist gelblich ("buttrig").;Legenden besagen, ein US-Pilot habe die Körner 1949 aus einem ägyptischen Grab mitgenommen. Marketing, aber lecker!;kamut.jpg
9;Masa Harina (Weiß / Blanco);Weißer Mais | Nixtamalisiert;8-9%;Klassische Tortillas, Arepas;Wird aus weißem Mais hergestellt. Der Geschmack ist feiner und milder als beim gelben Mais. Standard für Arepas in Kolumbien/Venezuela.;Das "Weiß" ist oft eher ein sehr helles Creme-Beige. In Mexiko der Standard für Tisch-Tortillas.;masa_harina_white.jpg
10;Masa Harina (Gelb / Amarillo);Gelber Mais | Nixtamalisiert;9-10%;Tamales, Empanadas, Taco Shells;Aus gelbem Mais. Schmeckt kräftiger, erdiger und süßlicher. Beliebt für frittierte Empanadas (Kolumbien) und Tex-Mex.;Enthält mehr Beta-Carotin (Vitamin A) als die weiße Variante.;masa_harina_yellow.jpg
11;Maismehl / Polenta;IT: Farina di mais | US: Cornmeal;8-9%;Polenta, Cornbread;Einfach gemahlener Mais. Enthält kein Gluten.;Unterschied zu Masa Harina: Polenta ist nur mechanisch gemahlen (nicht gekocht). Daraus kann man keine flexiblen Tacos formen.;polenta.jpg
12;Reismehl;Asia: Rice Flour;6-7%;Reispapier, Mochi, Saucen;Neutraler Geschmack. Macht Gebäcke "mürbe".;Wird oft mit Weizen gemischt, um Tempura-Teig besonders knusprig zu machen, da es weniger Öl aufsaugt.;reismehl.jpg
13;Klebreismehl;JP: Shiratamako / Mochiko;6-7%;Mochi, Tangyuan;Enthält kein Gluten, aber extrem klebrige Stärke (Amylopektin).;Der Name täuscht: Es enthält kein Gluten ("Kleber"). "Glutinous" bezieht sich hier nur auf die leimartige Konsistenz.;klebreis.jpg
14;Kichererbsenmehl;IN: Besan | FR: Socca;20-22%;Socca, Falafel, Pakora;Aus Hülsenfrüchten. Sehr proteinreich, nussig, glutenfrei.;In Nizza isst man "Socca" als Streetfood – riesige Pfannkuchen aus Kichererbsenmehl, Olivenöl und viel Pfeffer.;kichererbse.jpg
15;Teffmehl;ET: Teff (Zwerghirse);10-12%;Injera (Äthiopisches Fladenbrot);Die kleinste Getreideart der Welt. Glutenfrei, nussig-säuerlich.;Teffkörner sind winzig: 150 Teffkörner wiegen so viel wie ein einziges Weizenkorn!;teff.jpg
16;Buchweizenmehl;FR: Sarrasin | RU: Gretschnefaja;10-11%;Galettes, Blinis, Soba;Kein Getreide (Knöterich). Grau, erdiger Geschmack.;In der Bretagne wird strikt getrennt: Crêpes sind aus Weizen (süß), Galettes aus Buchweizen (herzhaft).;buchweizen.jpg
17;Hafermehl;UK: Oatmeal;12-15%;Haferkekse, Oatcakes;Wärmend, fettreich. Bildet Schleimstoffe, die Feuchtigkeit halten.;Hafer hat kein Gluten, entwickelt aber Bitterstoffe, wenn er nicht direkt nach der Ernte "gedarrt" (erhitzt) wird.;hafer.jpg
18;Gerstenmehl;Tibet: Tsampa;9-11%;Fladenbrote, Whisky-Maische;Sehr altes Getreide. Wenig Kleber.;Römische Gladiatoren hießen "Hordearii" (Gerstenesser), weil Gerstenbrei ihre Hauptnahrung war.;gerste.jpg
19;Sorghummehl;Africa: Jowar / Dhurra;10-12%;Glutenfreie Brote, Bier;Wächst bei Hitze, wo Weizen stirbt. Milder Geschmack.;Weltweit das fünftwichtigste Getreide, im Westen aber fast unbekannt. Das "Kamel unter den Pflanzen".;sorghum.jpg
20;Tapiokastärke;BR: Polvilho | Asia: Tapioca;0-1%;Pão de Queijo, Bubble Tea;Reine Stärke aus der Maniokwurzel. Zieht Fäden wie Kaugummi, wenn erhitzt.;Sorgt für den "Chew"-Effekt (Kaugefühl) in Bubble Tea Perlen und brasilianischen Käsebrötchen.;tapioka.jpg
21;Maniokmehl (Cassava);Africa: Gari | BR: Farinha;1-2%;Fufu, Farofa;Die ganze, getrocknete Wurzel. Leicht säuerlich fermentiert.;Achtung: Die rohe Wurzel enthält Blausäure und ist tödlich! Sie muss gewässert und gepresst werden.;maniok.jpg
22;Kartoffelmehl / Stärke;DE: Kartoffelmehl;1-2%;Kartoffelbrot, Saucenbindung, Biskuit;Reine Stärke. Macht Teige saftig und Krusten kurz (knackig).;Ein Teil Kartoffelstärke im Biskuit macht ihn feiner. In Irland unverzichtbar für "Potato Farls".;kartoffelstaerke.jpg
23;Kastanienmehl;IT: Farina di castagne;5-6%;Castagnaccio, Nudeln, Süßspeisen;Süßlich, rauchig (da über Feuer getrocknet). Kein Getreide.;War früher in Bergregionen (Korsika, Tessin) der Weizenersatz für arme Leute ("Brotbaum"), heute eine teure Spezialität.;kastanie.jpg
24;Wattleseed (Akazie);AU: Wattleseed;15-20%;Gewürz, Brot-Zutat;Geröstete Samen australischer Akazien. Schmeckt nach Kaffee, Schokolade & Haselnuss.;Ein "Bush Food" der Aborigines. Wird oft nur löffelweise als Geschmacksgeber in Brotteige gemischt.;wattleseed.jpg
