status;atlas_ref_id;brot_id;rezept_variante;name;gruppe;schritt_nr;zutaten_list;anweisung;techniken_tags;zeit_aufwand;bild_ref;quelle;bild_lead;step_bild_positive_prompt;step_bild_negativ_prompt;lead_bild_positive_prompt;lead_bild_negativ_prompt;tipps;gemini_comment1;gemini_comment2;Herkunft;Geschichte, Entstehung;Tradition;
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;1;1kg Ruchmehl, 700g Wasser, 40g Hefe, 15g Salz;Mischen: Mehl und Hefe in eine grosse Schüssel geben, Wasser beigeben und mischen. Salz nach 5 Min beigeben.;Mischen;10 Min;CHE-00001-G-001-st1.jpg;Schweizer Brot;CHE-00001-G-001.jpg;Professional food photography, mixing bread dough in a bowl, flour and water texture, artisan bakery;blurry, text, cartoon;Professional food photography, St. Galler Brot, round loaf with a nose-like bulge on top, dark crispy crust, rustic wooden board, sliced, crumbs;blurry, text, cartoon;Hefe nicht direkt auf das Salz geben.;Ruchmehl sorgt für die typische Farbe.;Ein Klassiker der Ostschweiz.;Kanton St. Gallen;Erstmals erwähnt in Zunftordnungen des 16. Jahrhunderts, eng verbunden mit der Klostertradition.;Die typische 'Nase' (Wulst) ist das Markenzeichen. Eine Legende besagt, ein Mönch habe sich versehentlich auf den Teig gesetzt.;
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;2;Keine;Kneten: Teig ca. 10-15 Minuten geschmeidig kneten.;Kneten;15 Min;CHE-00001-G-001-st2.jpg;Schweizer Brot;CHE-00001-G-001.jpg;Professional food photography, baker's hands kneading dough on wooden surface, flour dust, motion;blurry, text, cartoon;Professional food photography, St. Galler Brot, round loaf with a nose-like bulge on top, dark crispy crust, rustic wooden board, sliced, crumbs;blurry, text, cartoon;Fensterprobe machen um Glutengerüst zu prüfen.;Gut auskneten ist essenziell für das Volumen.;Passt hervorragend zu St. Galler Bratwurst.;Kanton St. Gallen;Erstmals erwähnt in Zunftordnungen des 16. Jahrhunderts, eng verbunden mit der Klostertradition.;Die typische 'Nase' (Wulst) ist das Markenzeichen. Eine Legende besagt, ein Mönch habe sich versehentlich auf den Teig gesetzt.;
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;3;Keine;Gären: Zugedeckt ca. 60 Min ruhen lassen (doppeltes Volumen).;Gären;60 Min;CHE-00001-G-001-st3.jpg;Schweizer Brot;CHE-00001-G-001.jpg;Professional food photography, risen dough in a bowl, airy texture, linen cloth;blurry, text, cartoon;Professional food photography, St. Galler Brot, round loaf with a nose-like bulge on top, dark crispy crust, rustic wooden board, sliced, crumbs;blurry, text, cartoon;Teig vor Zugluft schützen.;Raumtemperatur sollte ca 22 Grad sein.;Geduld beim Gären bringt Geschmack.;Kanton St. Gallen;Erstmals erwähnt in Zunftordnungen des 16. Jahrhunderts, eng verbunden mit der Klostertradition.;Die typische 'Nase' (Wulst) ist das Markenzeichen. Eine Legende besagt, ein Mönch habe sich versehentlich auf den Teig gesetzt.;
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;4;Keine;Formen: Teig falten (von vier Seiten zur Mitte), 30 Min ruhen. Rund formen.;Formen;35 Min;CHE-00001-G-001-st4.jpg;Schweizer Brot;CHE-00001-G-001.jpg;Professional food photography, baker shaping a round dough loaf, folding technique, raw dough;blurry, text, cartoon;Professional food photography, St. Galler Brot, round loaf with a nose-like bulge on top, dark crispy crust, rustic wooden board, sliced, crumbs;blurry, text, cartoon;Beim Formen Spannung aufbauen.;Hier entsteht die Basis für die 'Nase' durch das Falten.;Formgebung ist handwerklich anspruchsvoll.;Kanton St. Gallen;Erstmals erwähnt in Zunftordnungen des 16. Jahrhunderts, eng verbunden mit der Klostertradition.;Die typische 'Nase' (Wulst) ist das Markenzeichen. Eine Legende besagt, ein Mönch habe sich versehentlich auf den Teig gesetzt.;
active;CH-SG-001;CHE-00001-G-001;1;St. Galler Brot;Kantonsbrote;5;Wasser;Backen: Bei 230 Grad ca. 50-60 Min backen. Sofort mit Wasser bestreichen.;Backen;60 Min;CHE-00001-G-001-st5.jpg;Schweizer Brot;CHE-00001-G-001.jpg;Professional food photography, bread baking in oven, golden crust forming, steam;blurry, text, cartoon;Professional food photography, St. Galler Brot, round loaf with a nose-like bulge on top, dark crispy crust, rustic wooden board, sliced, crumbs;blurry, text, cartoon;Ofen gut vorheizen mit Blech.;Wasseranstrich sorgt für schönen Glanz.;Klopftest auf Unterseite: muss hohl klingen.;Kanton St. Gallen;Erstmals erwähnt in Zunftordnungen des 16. Jahrhunderts, eng verbunden mit der Klostertradition.;Die typische 'Nase' (Wulst) ist das Markenzeichen. Eine Legende besagt, ein Mönch habe sich versehentlich auf den Teig gesetzt.;
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;1;1kg Ruchmehl, 7dl Wasser, 20g Hefe, 22g Salz;Mischen & Kneten: Zutaten mischen (Salz später). 10-15 Min kneten.;Kneten;20 Min;CHE-00002-G-001-st1.jpg;Schweizer Brot;CHE-00002-G-001.jpg;Professional food photography, dough in mixer, gluten structure developing, raw ingredients;blurry, text, cartoon;Professional food photography, Obwaldner Brot, two long rustic bread rolls attached sideways, dark crust, wooden board, rustic style;blurry, text, cartoon;Salz erst spät beigeben schont die Hefe.;Etwas weicherer Teig ist normal.;Ein rustikales Brot für den Alltag.;Kanton Obwalden;Ursprünglich ein Bauernbrot für die Selbstversorgung.;Wird traditionell als 'Doppelbrot' gebacken, ähnlich einem grossen, länglichen Mutschli.;
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;2;Keine;Gären: 60 Min ruhen lassen.;Gären;60 Min;CHE-00002-G-001-st2.jpg;Schweizer Brot;CHE-00002-G-001.jpg;Professional food photography, fermented dough bubbles close up, soft texture;blurry, text, cartoon;Professional food photography, Obwaldner Brot, two long rustic bread rolls attached sideways, dark crust, wooden board, rustic style;blurry, text, cartoon;Feuchtes Tuch verhindert antrocknen.;Ruhezeit ist wichtig für das Aroma.;Gut Ding will Weile haben.;Kanton Obwalden;Ursprünglich ein Bauernbrot für die Selbstversorgung.;Wird traditionell als 'Doppelbrot' gebacken, ähnlich einem grossen, länglichen Mutschli.;
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;3;Keine;Formen: In 4 Stücke teilen. Zu 25cm Strängen formen. Je zwei aneinanderlegen.;Formen;15 Min;CHE-00002-G-001-st3.jpg;Schweizer Brot;CHE-00002-G-001.jpg;Professional food photography, shaping long dough strands, placing two strands together on baking sheet;blurry, text, cartoon;Professional food photography, Obwaldner Brot, two long rustic bread rolls attached sideways, dark crust, wooden board, rustic style;blurry, text, cartoon;Stränge gleichmässig rollen.;Die Kontaktstellen leicht bemehlen oder befeuchten, je nach gewünschtem Aufriss.;Erinnert an zwei aneinandergeklebte Wecken.;Kanton Obwalden;Ursprünglich ein Bauernbrot für die Selbstversorgung.;Wird traditionell als 'Doppelbrot' gebacken, ähnlich einem grossen, länglichen Mutschli.;
active;CH-OW-001;CHE-00002-G-001;1;Obwaldner Brot;Kantonsbrote;4;Wasser;Backen: Nochmals 30-40 Min ruhen. 50 Min bei 220 Grad backen. Mit Wasser bestreichen.;Backen;90 Min;CHE-00002-G-001-st4.jpg;Schweizer Brot;CHE-00002-G-001.jpg;Professional food photography, brushing hot bread with water, shiny crust, steam;blurry, text, cartoon;Professional food photography, Obwaldner Brot, two long rustic bread rolls attached sideways, dark crust, wooden board, rustic style;blurry, text, cartoon;Stückgare (2. Ruhe) nicht vergessen.;Dampf beim Einschiessen geben.;Sehr knusprige Kruste durch das Wasserbestreichen.;Kanton Obwalden;Ursprünglich ein Bauernbrot für die Selbstversorgung.;Wird traditionell als 'Doppelbrot' gebacken, ähnlich einem grossen, länglichen Mutschli.;
active;CH-GL-001;CHE-00003-G-001;1;Glarner Brot;Kantonsbrote;1;1kg Mehl, 7dl Wasser, 20g Hefe, 20g Salz;Mischen & Kneten: Alles mischen (Salz später). 10-15 Min kneten.;Kneten;20 Min;CHE-00003-G-001-st1.jpg;Schweizer Brot;CHE-00003-G-001.jpg;Professional food photography, kneading dough on table, flour dusting, baker hands;blurry, text, cartoon;Professional food photography, Glarner Brot, oval loaf with deep lengthwise cut, golden crust, on cutting board, sliced;blurry, text, cartoon;Wasser kühler wählen im Sommer.;Klassischer Ruch- oder Halbweissteig.;Früher oft mit Schabziger gewürzt (Spezialität).;Kanton Glarus;Glarus hat eine reiche Bäckertradition, auch durch die Truppenverpflegung (Glarner Zwieback).;Der tiefe Längsschnitt ist charakteristisch, damit das Brot kontrolliert aufreisst und viel Kruste bildet.;
